Lite talk_2_200_20_20_10_0_0.1_0.3_0.4_0.2_1
Lite internet_3_30_0_500_10_0_0.1_0.3_0.4_0.2_1
Lite+_4.5_250_30_600_20_0_0.1_0.3_0.4_0.2_1
Comfort_6_300_60_750_50_10_0.08_0.25_0.3_0.2_0.9
Comfort+_8_500_90_1100_70_15_0.08_0.25_0.3_0.2_0.9
Comfort MAX_11_1000_150_1500_100_20_0.08_0.25_0.3_0.2_0.9
Business_20_unlim_250_3000_100_50_0_0.2_0.2_0.2_0.8
Business+_35_unlim_unlim_unlim_100_100_0_0_0_0.2_0.8
Business ULTRA_60_unlim_unlim_unlim_unlim_unlim_0_0_0_0_0
Internet S_5_0_0_1000_0_0_0.2_0.5_0.1_0.4_2
Internet M_8_0_0_2000_0_0_0.2_0.5_0.1_0.4_2
Internet L_12_0_0_4000_0_0_0.2_0.5_0.1_0.4_2
Internet XL_16_0_0_6000_0_0_0.2_0.5_0.1_0.4_2
Internet UNLIM_25_0_0_unlim_0_0_0.2_0.5_0_0.4_2
